,datetime,symbol,收盤價
596612,2014-12-19,2610,14.35
598148,2014-12-22,2610,14.1
599683,2014-12-23,2610,13.95
601220,2014-12-24,2610,13.7
602758,2014-12-25,2610,13.75
604297,2014-12-26,2610,14.0
605836,2014-12-27,2610,14.1
607376,2014-12-29,2610,13.8
608917,2014-12-30,2610,14.0
610458,2014-12-31,2610,14.5
611999,2015-01-05,2610,14.85
613540,2015-01-06,2610,15.1
615081,2015-01-07,2610,15.85
616622,2015-01-08,2610,15.85
618163,2015-01-09,2610,16.0
619704,2015-01-12,2610,15.8
621245,2015-01-13,2610,16.3
622786,2015-01-14,2610,16.2
624327,2015-01-15,2610,15.85
625868,2015-01-16,2610,15.95
627409,2015-01-19,2610,15.3
628950,2015-01-20,2610,15.75
630493,2015-01-21,2610,15.9
632036,2015-01-22,2610,16.05
633579,2015-01-23,2610,16.1
635122,2015-01-26,2610,16.35
636667,2015-01-27,2610,16.35
638213,2015-01-28,2610,15.95
639759,2015-01-29,2610,15.75
641305,2015-01-30,2610,15.9
642851,2015-02-02,2610,15.1
644397,2015-02-03,2610,14.95
645943,2015-02-04,2610,14.8
647489,2015-02-05,2610,15.25
649035,2015-02-06,2610,15.05
650581,2015-02-09,2610,14.7
652127,2015-02-10,2610,15.1
653673,2015-02-11,2610,15.1
655219,2015-02-12,2610,15.0
656765,2015-02-13,2610,15.0
658311,2015-02-24,2610,15.1
659857,2015-02-25,2610,15.3
661403,2015-02-26,2610,15.4
662949,2015-03-02,2610,15.3
664495,2015-03-03,2610,15.15
666041,2015-03-04,2610,14.8
667587,2015-03-05,2610,14.2
669133,2015-03-06,2610,14.75
670679,2015-03-09,2610,14.8
672225,2015-03-10,2610,14.85
673771,2015-03-11,2610,15.1
675317,2015-03-12,2610,15.15
676863,2015-03-13,2610,15.45
678409,2015-03-16,2610,15.8
679955,2015-03-17,2610,15.9
681501,2015-03-18,2610,16.1
683048,2015-03-19,2610,15.95
684595,2015-03-20,2610,15.9
686142,2015-03-23,2610,15.95
687691,2015-03-24,2610,16.2
689241,2015-03-25,2610,16.0
690792,2015-03-26,2610,15.55
692343,2015-03-27,2610,15.45
693894,2015-03-30,2610,15.75
695447,2015-03-31,2610,16.05
696997,2015-04-01,2610,16.0
698547,2015-04-02,2610,16.15
700097,2015-04-07,2610,17.2
701647,2015-04-08,2610,17.35
703198,2015-04-09,2610,17.4
704749,2015-04-10,2610,17.3
706300,2015-04-13,2610,17.9
707851,2015-04-14,2610,17.7
709402,2015-04-15,2610,17.8
710953,2015-04-16,2610,17.3
712504,2015-04-17,2610,17.0
714055,2015-04-20,2610,16.7
715607,2015-04-21,2610,16.6
717159,2015-04-22,2610,16.3
718711,2015-04-23,2610,16.5
720263,2015-04-24,2610,16.15
721815,2015-04-27,2610,16.1
723367,2015-04-28,2610,16.6
724919,2015-04-29,2610,16.55
726471,2015-04-30,2610,16.3
728023,2015-05-04,2610,15.9
729575,2015-05-05,2610,15.8
731127,2015-05-06,2610,14.7
732680,2015-05-07,2610,14.65
734233,2015-05-08,2610,14.75
735786,2015-05-11,2610,14.85
737339,2015-05-12,2610,15.1
738892,2015-05-13,2610,14.65
740445,2015-05-14,2610,14.5
741998,2015-05-15,2610,14.4
743551,2015-05-18,2610,14.2
745105,2015-05-19,2610,14.8
746659,2015-05-20,2610,14.75
748214,2015-05-21,2610,14.2
749769,2015-05-22,2610,14.15
751324,2015-05-25,2610,15.1
752880,2015-05-26,2610,15.1
754436,2015-05-27,2610,15.15
755992,2015-05-28,2610,15.2
757548,2015-05-29,2610,15.0
759104,2015-06-01,2610,14.35
760660,2015-06-02,2610,14.35
762217,2015-06-03,2610,13.45
763774,2015-06-04,2610,13.6
765331,2015-06-05,2610,13.8
766888,2015-06-08,2610,13.25
768445,2015-06-09,2610,13.0
770003,2015-06-10,2610,13.15
771561,2015-06-11,2610,12.3
773119,2015-06-12,2610,12.35
774679,2015-06-15,2610,12.2
776239,2015-06-16,2610,11.85
777799,2015-06-17,2610,11.7
779359,2015-06-18,2610,12.7
780919,2015-06-22,2610,12.9
782479,2015-06-23,2610,13.0
784039,2015-06-24,2610,12.9
785599,2015-06-25,2610,13.4
787159,2015-06-26,2610,13.25
788719,2015-06-29,2610,13.05
790279,2015-06-30,2610,13.15
791839,2015-07-01,2610,13.3
793399,2015-07-02,2610,14.1
794959,2015-07-03,2610,13.75
796519,2015-07-06,2610,14.15
798079,2015-07-07,2610,14.35
799639,2015-07-08,2610,13.6
801199,2015-07-09,2610,13.6
802759,2015-07-13,2610,13.6
804318,2015-07-14,2610,13.8
805878,2015-07-15,2610,14.05
807438,2015-07-16,2610,14.6
808998,2015-07-17,2610,14.35
810558,2015-07-20,2610,14.25
812118,2015-07-21,2610,14.15
813678,2015-07-22,2610,14.35
815239,2015-07-23,2610,14.4
816800,2015-07-24,2610,14.3
818361,2015-07-27,2610,13.75
819922,2015-07-28,2610,13.95
821484,2015-07-29,2610,13.9
823046,2015-07-30,2610,14.0
824608,2015-07-31,2610,14.05
826170,2015-08-03,2610,13.8
827732,2015-08-04,2610,14.15
829294,2015-08-05,2610,14.45
830856,2015-08-06,2610,14.25
832418,2015-08-07,2610,14.35
833980,2015-08-10,2610,14.65
835545,2015-08-11,2610,14.2
837110,2015-08-12,2610,13.75
838675,2015-08-13,2610,13.65
840240,2015-08-14,2610,12.6
841804,2015-08-17,2610,12.3
843368,2015-08-18,2610,12.1
844932,2015-08-19,2610,12.15
846496,2015-08-20,2610,12.4
848060,2015-08-21,2610,12.2
849624,2015-08-24,2610,11.35
851188,2015-08-25,2610,11.65
852752,2015-08-26,2610,11.45
854316,2015-08-27,2610,11.75
855880,2015-08-28,2610,11.8
857444,2015-08-31,2610,11.7
859008,2015-09-01,2610,11.2
860572,2015-09-02,2610,11.25
862136,2015-09-03,2610,11.2
863700,2015-09-04,2610,11.0
865264,2015-09-07,2610,10.9
866828,2015-09-08,2610,11.15
868393,2015-09-09,2610,11.35
869957,2015-09-10,2610,11.5
871520,2015-09-11,2610,11.4
873083,2015-09-14,2610,11.6
874646,2015-09-15,2610,11.75
876209,2015-09-16,2610,11.8
877772,2015-09-17,2610,11.75
879335,2015-09-18,2610,11.55
880898,2015-09-21,2610,11.5
882461,2015-09-22,2610,11.45
884024,2015-09-23,2610,11.2
885587,2015-09-24,2610,11.1
887150,2015-09-25,2610,11.05
888714,2015-09-30,2610,11.25
890278,2015-10-01,2610,11.85
891843,2015-10-02,2610,11.6
893408,2015-10-05,2610,11.75
894973,2015-10-06,2610,11.6
896538,2015-10-07,2610,11.1
898103,2015-10-08,2610,11.0
899669,2015-10-12,2610,11.0
901236,2015-10-13,2610,11.3
902803,2015-10-14,2610,11.1
904370,2015-10-15,2610,11.25
905937,2015-10-16,2610,11.55
907504,2015-10-19,2610,11.75
909071,2015-10-20,2610,11.65
910638,2015-10-21,2610,11.7
912206,2015-10-22,2610,12.0
913774,2015-10-23,2610,11.95
915342,2015-10-26,2610,12.15
916910,2015-10-27,2610,12.05
918480,2015-10-28,2610,11.85
920050,2015-10-29,2610,11.55
921620,2015-10-30,2610,11.65
923190,2015-11-02,2610,11.7
924760,2015-11-03,2610,11.85
926331,2015-11-04,2610,12.0
927902,2015-11-05,2610,11.9
929473,2015-11-06,2610,11.75
931044,2015-11-09,2610,11.95
932616,2015-11-10,2610,11.8
934188,2015-11-11,2610,11.6
935760,2015-11-12,2610,11.6
937332,2015-11-13,2610,11.5
938905,2015-11-16,2610,11.05
940478,2015-11-17,2610,11.15
942052,2015-11-18,2610,11.15
943626,2015-11-19,2610,11.1
945200,2015-11-20,2610,11.2
946775,2015-11-23,2610,11.3
948351,2015-11-24,2610,10.9
949927,2015-11-25,2610,11.05
951503,2015-11-26,2610,11.0
953079,2015-11-27,2610,10.9
954655,2015-11-30,2610,10.8
956231,2015-12-01,2610,10.9
957807,2015-12-02,2610,10.9
959384,2015-12-03,2610,10.9
960961,2015-12-04,2610,10.85
962539,2015-12-07,2610,10.8
964117,2015-12-08,2610,10.75
965695,2015-12-09,2610,11.2
967273,2015-12-10,2610,11.0
968850,2015-12-11,2610,10.95
970427,2015-12-14,2610,11.1
972004,2015-12-15,2610,11.05
973583,2015-12-16,2610,11.1
975165,2015-12-17,2610,11.1
976747,2015-12-18,2610,11.25
978329,2015-12-21,2610,11.85
979911,2015-12-22,2610,11.75
981495,2015-12-23,2610,11.9
